Item = 13661	3121	10	9	7	0	0	0	1	0	0	0	0	11	0	0
Item = 13642	3109	0	-1	7	5	0	2	3	1	16	0	0	33	0	0
Item = 14684	3551	0	0	0	0	78	0	0	0	0	0	0	0	0	-5
Item = 14679	3549	30	-2	49	2	0	0	0	0	0	0	0	45	0	4
Item = 14484	3508	41	57	-4	0	0	13	26	7	0	0	0	56	0	0
Item = 13780	3203	0	0	0	0	0	0	0	0	0	0	0	56	0	0
Item = 13740	3183	0	0	0	0	0	63	65	75	2	57	0	0	0	3
Item = 13742	3184	0	0	0	0	0	63	65	75	2	57	0	0	0	3
Item = 13867	3282	13	-1	65	18	0	5	7	4	18	0	0	72	105	0
Item = 13864	3280	0	0	0	8	-2	20	16	22	8	0	0	0	0	0
Item = 13861	3278	0	0	0	27	-7	38	35	44	24	0	0	0	0	0
Item = 13858	3276	0	0	0	35	-10	63	45	74	35	0	0	0	0	0
Item = 13876	3288	0	0	0	-5	13	8	11	14	8	12	0	0	0	0
Item = 13873	3286	0	0	0	-10	23	35	29	37	46	35	0	0	0	0
Item = 13870	3284	0	0	0	-15	36	61	53	66	75	62	0	0	0	0
Item = 13902	3307	-4	-4	123	0	0	0	0	0	0	0	0	114	0	0
Item = 13896	3303	3	5	5	-17	-4	86	100	112	-4	118	0	3	0	0
Item = 13890	3299	3	3	5	-21	-7	110	106	97	-4	121	0	3	0	0
Item = 13884	3295	5	5	7	-10	-30	154	145	121	-6	157	0	5	0	0
Item = 13887	3297	5	7	7	-15	0	120	131	145	-3	140	0	6	0	0
Item = 13893	3301	3	5	5	-17	-4	86	100	112	-4	118	0	3	0	0
Item = 13899	3305	106	121	-2	0	0	1	4	3	0	0	0	118	0	0
Item = 0	-1	133	113	120	0	0	18	21	21	0	0	0	122	0	0
Item = 14490	3511	0	0	0	-14	-6	52	50	25	-1	49	0	0	0	0
Item = 14492	3512	0	0	0	-20	-8	80	85	40	-2	80	0	0	0	0
Item = 14494	3513	0	0	0	-4	-2	31	33	15	0	30	0	0	0	0
Item = 14592	3527	0	0	0	-14	-6	52	50	25	-1	49	0	0	0	0
Item = 14593	3528	0	0	0	-20	-8	80	85	40	-2	80	0	0	0	0
Item = 14594	3529	0	0	0	-4	-2	31	33	15	0	30	0	0	0	0
Item = 14479	3505	0	0	0	-30	0	109	107	97	-6	106	0	0	0	0
Item = 35	0	20	29	-2	0	0	0	3	2	1	0	0	25	0	0
Item = 76	-1	0	0	0	0	0	11	10	0	0	5	0	0	0	0
Item = 75	14	0	0	0	0	0	4	5	3	0	0	0	3	0	0
Item = 88	17	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Item = 426	35	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Item = 428	36	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Item = 548	58	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Item = 546	57	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Item = 544	56	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Item = 540	54	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Item = 542	55	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Item = 538	53	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Item = 626	68	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Item = 630	70	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Item = 628	69	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Item = 634	72	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Item = 632	71	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Item = 638	74	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Item = 636	73	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Item = 577	60	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 579	61	0	0	0	2	0	0	0	0	2	0	0	0	0	0
Item = 581	62	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 589	65	0	0	0	0	0	13	13	13	0	0	0	0	0	0
Item = 644	77	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Item = 640	75	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Item = 642	76	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Item = 664	87	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 667	88	9	14	-2	0	0	0	3	2	0	0	0	10	0	0
Item = 660	85	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 662	86	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 656	83	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 658	84	0	0	0	3	0	0	0	0	3	0	0	0	0	0
Item = 747	100	5	3	-4	1	0	0	0	0	0	0	0	0	0	0
Item = 746	99	5	3	-4	1	0	0	0	0	0	0	0	0	0	0
Item = 767	102	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Item = 817	129	0	0	0	0	18	0	0	0	0	0	0	0	0	0
Item = 816	128	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Item = 818	130	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Item = 829	135	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Item = 828	134	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Item = 831	137	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Item = 830	136	0	0	0	0	38	0	0	0	0	0	0	0	0	0
Item = 825	131	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Item = 827	133	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Item = 826	132	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Item = 804	116	0	0	0	0	17	0	0	0	0	0	0	0	0	0
